source,network
southsanantonionews,metric_media
spurguide,franklin_archer
swdallasnews,metric_media
swhoustonnews,metric_media
texasbusinesscoalition,UNKNOWN
txbusinessdaily,UNKNOWN
tylerreporter,metric_media
uppereasttx,UNKNOWN
urbanreform,UNKNOWN
wacoreporter,metric_media
wctexasnews,metric_media
westdfwnews,metric_media
westhoustonnews,metric_media
westrgvnews,metric_media
westtxnews,UNKNOWN
wintergardentoday,metric_media
americancatholictribune,UNKNOWN
americanpharmacynews,UNKNOWN
americansecuritynews,UNKNOWN
cropprotectionnews,UNKNOWN
currentsciencedaily,UNKNOWN
educationdailywire,UNKNOWN
epnewswire,UNKNOWN
fdahealthnews,UNKNOWN
fdareporter,UNKNOWN
highereducationtribune,UNKNOWN
hrdailywire,UNKNOWN
insuranceratereporter,UNKNOWN
legalnewsline,the_record
megadealernews,UNKNOWN
patientdaily,UNKNOWN
powernewswire,UNKNOWN
propertyinsurancewire,UNKNOWN
theneighborhoodguardian,UNKNOWN
tinewsdaily,UNKNOWN
tobacconewswire,UNKNOWN
wealthmanagementwire,UNKNOWN
beehivestatenews,metric_media
centralutahnews,metric_media
davistimes,metric_media
eastslcnews,metric_media
northutahnews,metric_media
slctimes,metric_media
southutahnews,metric_media
utahvalleytimes,metric_media
utbusinessdaily,UNKNOWN
wastachnews,metric_media
webertimes,metric_media
westslcnews,metric_media
burlingtonstandard,metric_media
greenmountaintimes,metric_media
ncvermontnews,metric_media
nevermontnews,metric_media
scvermontnews,metric_media
southvermontnews,metric_media
vtbusinessdaily,UNKNOWN
centralnovanews,metric_media
centralshenandoahnews,metric_media
centralvatimes,UNKNOWN
easternshoretimes,metric_media
ecvirginianews,metric_media
fredericksburgleader,metric_media
gatewayreporter,metric_media
henricotimes,metric_media
lynchburgreporter,metric_media
newrivervalleytimes,metric_media
northernnecktimes,metric_media
northfairfaxnews,metric_media
northrichmondtoday,metric_media
northshenandoahnews,metric_media
northtidewaternews,metric_media
olddominionnews,metric_media
princewilliamreporter,metric_media
richmondleader,metric_media
roanokesun,metric_media
scvanews,UNKNOWN
shenandoahvalleynews,metric_media
southfairfaxnews,metric_media
southsidevanews,metric_media
southtidewaternews,metric_media
swvirginianews,metric_media
vabusinessdaily,UNKNOWN
westnovanews,metric_media
williamsburgsun,metric_media
eastkingnews,metric_media
evergreenreporter,metric_media
kitsapreview,metric_media
moseslaketoday,metric_media
newashingtonnews,metric_media
northkingnews,metric_media
northsnohomishnews,metric_media
nwwashingtonnews,metric_media
olympictimes,metric_media
piercetoday,metric_media
seattlecitywire,metric_media
sewashingtonnews,metric_media
southkingnews,metric_media
southsnohomishnews,metric_media
southsoundtimes,metric_media
spokanecotimes,UNKNOWN
spokanestandard,metric_media
tricitiesreporter,metric_media
vancouverreporter,metric_media
wabusinessdaily,UNKNOWN
waislenews,UNKNOWN
wenatcheetimes,metric_media
yakimatimes,metric_media
dcbusinessdaily,UNKNOWN
alleghenyhighlandstoday,metric_media
bluestonenews,metric_media
charlestonleader,metric_media
eastpanhandletimes,metric_media
huntingtontimes,metric_media
mountainstatetimes,metric_media
ncwvnews,UNKNOWN
northpanhandletimes,metric_media
ohiovalleytimes,metric_media
southernwvnews,UNKNOWN
wvbusinessdaily,UNKNOWN
wvheartlandnews,metric_media
wvrecord,UNKNOWN
centralwisconsinnews,metric_media
chippewavalleytimes,metric_media
ecwisconsinnews,metric_media
fondulacnews,UNKNOWN
foxcitiesnews,metric_media
greenbayreporter,metric_media
kenoshareporter,metric_media
madisonreporter,metric_media
mkecitywire,UNKNOWN
mkenorth,UNKNOWN
mkesouth,UNKNOWN
ncwisconsinnews,metric_media
newisconsinnews,metric_media
northwoodsreporter,metric_media
ozaukeetimes,UNKNOWN
racinesun,metric_media
scwisconsinnews,metric_media
sowisconsintimes,UNKNOWN
swwisconsinnews,metric_media
thesconi,metric_media
washingtoncotimes,UNKNOWN
waukeshatimes,UNKNOWN
wcwisconsinnews,metric_media
whitewatertimes,metric_media
wibusinessdaily,UNKNOWN
wicatholictribune,UNKNOWN
centralwynews,UNKNOWN
equalitystatenews,metric_media
newyomingnews,metric_media
nwwyomingnews,metric_media
sewyomingnews,metric_media
swwyomingnews,metric_media
wybusinessdaily,UNKNOWN
