source,network
treasurecoastsun,metric_media
wadeviewparknews,UNKNOWN
westflnews,UNKNOWN
westhillsboroughnews,metric_media
westvolusianews,metric_media
windermeretoday,UNKNOWN
albanystandard,metric_media
athensreporter,metric_media
atlstandard,metric_media
centralgeorgianews,metric_media
coastalganews,metric_media
cobbreporter,metric_media
dekalbganews,metric_media
ecgeorgianews,UNKNOWN
gabusinessdaily,UNKNOWN
georgiamountainnews,metric_media
macontimes,metric_media
ncgeorgianews,metric_media
neatlantanews,metric_media
northfultontoday,metric_media
northgwinnettnews,metric_media
nwatlantanews,metric_media
nwgeorgianews,metric_media
peachtreetimes,metric_media
romereporter,metric_media
savannahstandard,metric_media
seatlantanews,metric_media
segeorgianews,metric_media
southatlantanews,metric_media
southfultontoday,metric_media
southgeorgiatimes,metric_media
southgwinnettnews,metric_media
swgeorgianews,metric_media
warnerrobinstoday,metric_media
wcgeorgianews,metric_media
westatlantanews,metric_media
gulfnewsjournal,UNKNOWN
alohastatenews,metric_media
bigislandtimes,UNKNOWN
hibusinessdaily,UNKNOWN
honolulureporter,metric_media
kauaisun,metric_media
mauireporter,metric_media
adareporter,metric_media
boisecitywire,metric_media
cdareporter,metric_media
centralidahotimes,metric_media
eastidahotimes,metric_media
gemstatewire,metric_media
idbusinessdaily,UNKNOWN
magicvalleytimes,metric_media
northidahotimes,metric_media
pocatellotimes,metric_media
treasurevalleytimes,metric_media
carbondalereporter,lgis
chambanasun,lgis
chicagocitywire,lgis
cookcountyrecord,the_record
cretereview,UNKNOWN
dekalbtimes,lgis
dupagepolicyjournal,lgis
eastcentralreporter,lgis
galesburgreporter,lgis
grundyreporter,lgis
ilbusinessdaily,UNKNOWN
illinoisvalleytimes,lgis
kanecountyreporter,lgis
kankakeetimes,lgis
kendallcountytimes,lgis
laharpeguide,franklin_archer
lakecountygazette,lgis
lynwoodtimes,UNKNOWN
maconreporter,lgis
madisonrecord,UNKNOWN
mcleancountytimes,lgis
metroeastsun,lgis
northcooknews,lgis
northegyptnews,lgis
nwillinoisnews,lgis
peoriastandard,lgis
prairiestatewire,lgis
quincyreporter,lgis
rockfordsun,lgis
rockislandtoday,lgis
salemnewswire,UNKNOWN
sangamonsun,lgis
seillinoisnews,lgis
silnews,lgis
southcentralreporter,lgis
southcooknews,lgis
swillinoisnews,lgis
westcentralreporter,lgis
westcooknews,lgis
willcountygazette,lgis
andersonreporter,metric_media
bloomingtonleader,metric_media
columbusstandard,metric_media
eastindynews,metric_media
ecindiananews,metric_media
elkharttimes,metric_media
ftwaynetimes,metric_media
hancockguide,franklin_archer
hoosierstatetoday,metric_media
indianabusinessdaily,franklin_archer
indystandard,metric_media
kentuckianatimes,metric_media
kokomostandard,metric_media
lafayettetimes,metric_media
munciereporter,metric_media
ncindiananews,metric_media
neindiananews,metric_media
northindynews,metric_media
seindiananews,metric_media
southbendtimes,metric_media
southernindianatoday,metric_media
southindynews,metric_media
swindiananews,metric_media
theregionnews,metric_media
wcindiananews,metric_media
westindynews,metric_media
adairmadisonnews,franklin_archer
amestoday,metric_media
ankenyguide,UNKNOWN
boonecountyguide,franklin_archer
boyervalleynews,franklin_archer
buchanancountynews,UNKNOWN
carrollcoguide,UNKNOWN
cedarrapidstoday,metric_media
centraliowatimes,metric_media
clarkeunionnews,franklin_archer
clivenews,franklin_archer
crawfordcountytimes,franklin_archer
dallascountyreview,franklin_archer
delawarecoguide,UNKNOWN
desmoinesguide,franklin_archer
desmoinessun,metric_media
dubuquecoguide,UNKNOWN
dubuquetimes,metric_media
eciowanews,UNKNOWN
elkhornguide,franklin_archer
fairfieldreview,franklin_archer
floydvalleyguide,franklin_archer
greenecountyguide,franklin_archer
grimesjournal,franklin_archer
guthriecountyguide,franklin_archer
hawkeyereporter,metric_media
iabusinessdaily,UNKNOWN
idasacguide,franklin_archer
indianolaguide,franklin_archer
iowacitytoday,metric_media
iowaregionalguide,franklin_archer
jaspercountyguide,franklin_archer
johnstontimes,franklin_archer
jonescountynews,UNKNOWN
mahaskaguide,franklin_archer
marioncountyguide,franklin_archer
montgomeryadamsnews,franklin_archer
mtpleasantguide,franklin_archer
neiowanews,metric_media
northdsmnews,metric_media
northiowareporter,metric_media
norwalktimes,franklin_archer
nwiowanews,metric_media
ottumwaguide,franklin_archer
pagetaylornews,franklin_archer
poweshiekguide,franklin_archer
ringgolddecaturnews,franklin_archer
riverbendtimes,metric_media
seiowanews,metric_media
shelbycountytimes,franklin_archer
siouxcitytimes,metric_media
southdsmnews,metric_media
southiowanews,metric_media
swiowatimes,metric_media
urbandaletimes,franklin_archer
warrencountynews,franklin_archer
waterlootimes,metric_media
waukeetimes,franklin_archer
wciowanews,metric_media
westdesmoinesguide,franklin_archer
westdsmnews,metric_media
ashlandreview,franklin_archer
eastwichitatimes,metric_media
eckansasnews,metric_media
glenelderguide,franklin_archer
holyroodguide,franklin_archer
hutchtoday,metric_media
jocotoday,metric_media
ksbusinessdaily,UNKNOWN
lawrencereporter,metric_media
linncountyguide,franklin_archer
littleappletimes,metric_media
miltonvaleguide,franklin_archer
moundridgeguide,franklin_archer
nckansasnews,metric_media
nekansasnews,metric_media
northwichitanews,metric_media
nwkansasnews,metric_media
sckansasnews,metric_media
sekansasnews,metric_media
southwichitanews,metric_media
sunflowerstatenews,metric_media
swkansasnews,metric_media
topekasun,metric_media
wichitastandard,metric_media
wilsonguide,franklin_archer
wyandottetimes,metric_media
bluegrasstimes,metric_media
bowlinggreentoday,metric_media
eastkentuckytimes,metric_media
eastlouisvillenews,metric_media
eastpennyroyalnews,metric_media
elizabethtowntimes,metric_media
hopkinsvilletimes,metric_media
jacksonpurchasenews,metric_media
kybusinessdaily,UNKNOWN
louisvillecitywire,metric_media
nckentuckynews,metric_media
nekentuckynews,metric_media
northbluegrassnews,metric_media
northkentuckynews,metric_media
nwkentuckynews,metric_media
sebluegrassnews,metric_media
sekentuckynews,metric_media
swbluegrassnews,metric_media
westpennyroyalnews,metric_media
batonrougereporter,metric_media
centrallouisiananews,metric_media
floridaparishnews,metric_media
